reslhlabinc0,reslhlabinc1,reslhlabinc2,reslhlabinc3,reslhlabinc4,reslhlabinc5,reslhlabinc6,reslhlabinc7,reslhlabinc8,reslhlabinc9,reslhlabinc10,reslhlabinc11,reslhlabinc12,reslhlabinc13,reslhlabinc14,reslhlabinc15,reslhlabinc16,reslhlabinc17,reslhlabinc18,reslhlabinc19,reslhlabinc20,reslhlabinc21,reslhlabinc22,reslhlabinc23,reslhlabinc24,reslhlabinc25,reslhlabinc26,reslhlabinc27,reslhlabinc28,reslhlabinc29,reslhlabinc30,reslhlabinc31,reslhlabinc32,reslhlabinc33,reslhlabinc34,reslhlabinc35
,,,,,,,,,,,,,,-.260306,-.33276787,-.2295962,-.35279408,-.25161266,-.2302427,-.14342286,.0069571026,.061037648,,.19520782,,.37252536,,.39850128,,,,,,,
,-.74340093,-.64326441,-.085316852,,.38613352,,.54338783,,.73377478,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.64958447,-.71187991,,-.76481318,,-.82175857,,-.61512882,,,,,,,,,,,,,,,,,,,,,,,,,,,
.24967553,.32393306,.29195821,.11816683,.21104361,.39037263,.28415179,.32030571,.45198354,.59635705,.73713058,.66951764,.58504593,.59127241,.6178925,.55861413,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.2507146,-1.0168478,-.92424697,-.2525661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2119937,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1210084,,-3.109926,,,
.10378892,-.11568767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.16505176,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.035591837,.21771218,.20052114,.0059920619,.20837305,.14070022,-.097139239,.27650207,.37240958,.29763401,.33339056,.25226524,.27355269,.41522095,.34571466,.44438756,.49219832,.45000151,.51617569,.53215903
-.081801787,-.14394286,-.19883238,-.23243523,-.14917888,.09464737,-.027645394,.10987291,.026688958,.26009142,.30782023,.7086255,.3407712,.26653522,.36878011,.32702923,.37285435,,,,,,,,,-2.1623235,,-2.223475,,-2.5702019,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.70544547,-.74249059,-.67254663,-.51141495,,-.43384141,,-.22615218,,.013899478,,,
.03037552,-.091652066,-1.0195811,-.62192839,-1.5599395,-.73995161,-1.1990314,,,-.41683754,-.75505537,-1.4697653,,-.90015984,-1.6740146,-.90432459,-.70149428,-1.1019393,-.68018299,-.62303501,,-1.1035613,-1.1203408,.7781477,-.86831158,.0015648778,,,-.10757399,,,,,,,
,,,,,,,.58996749,,.49751872,,.55754161,,,,,,,,,,,,,,,,,,,,,,,,
.21594289,.031366173,.22005779,,,,.032185737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.44826207,.41028601,.30614367,.27359018,.15800086,.12012786,.22762564,.1318723,,,,,,,,,,,,,,,,,,,,,,,,,,
.72932309,,2.0062511,,2.0429969,,2.2997022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.39408365,-.31960237,-.19667138,,-.59213012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.62401897,.8325215,.68540514,.73016417,.80392754,.92207533,.90158391,.67703313,.766644,1.0720326,.85921514,1.1121379,1.1796243,.91902113,.88938421,.88382429,.89443636,.87960148,.63978416,-4.6745286,-3.5699601,-3.1237705,-4.1037536,,,
.23556699,.77915514,.74199051,.85429358,.86379421,.64328879,.59209692,.80489492,.61087561,.54759407,.42891434,.25609425,,.35655126,,.22457901,,.20798358,,,,,,,,,,,,,,,,,,
,,,,,,,,,-1.851264,,,,,,,,,,,,,,,,,,,,,,,,,,
.68061966,.49000871,.49706411,.39455006,.35494667,.39600444,.52189118,.45163521,.31454128,.35973814,,.39002359,,.66397232,,.40255281,,,,,,,,,,,,,,,,,,,,
,,,,,-.46927199,,-.53658342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.072573766,.20964593,.82352746,.61477965,.45346114,.58170825,.32656872,.55477613,-.59076941,-1.51472,-.46724126,,-.49414372,,,,-.11907385,,,,,,,,,,,,,,,,,,,
.33104539,.604563,,.67440861,,.70642233,,.81857902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1.1436654,,-.79836619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.52836853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.54948658,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-.99542463,-2.6096308,,,,,,,,,,,,,,,,,,,,,,,,,,
.28054458,-.064432815,.39060563,-1.4916893,-.49079454,.14668158,.12190126,.055622783,.52556753,.44337884,.3845132,-.9084568,-1.0130025,.31460702,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.61370027,.56274527,.51107025,.495859,.52384317,,-.04694178,,.58890265,,-.12157933,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.369497,-.39815083,-.24316306,-.17088568,-.14277823,-.12524639,-.060494035
,,,,,,,,,,,,,,,-.30863005,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.34102485,.27498323,.31456074,.19230318,.1785323,-.069355011,,,,,,,,,,,,,,,,,
,,-1.1523649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5100039,-1.1689442
,,,,,,,,,-.79628521,-.25490516,-.13830771,-.27552128,,-.22842182,,-.23585007,,-.3157188,,,,,,,,,,,,,,,,,
,,,,,,,,,-.51948583,-.43879095,,-1.9960958,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.018169107,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.19429965,-.17530319,-.20602053,-.018818252,.18434599,,,,,,,,,,,,,,,,
,1.0890701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.75799328,,,
,,,,,,,,,,,,,,-.42171082,,-.92512435,,,,,,,,,,,,,,,,,,,
-2.6490829,-.7620244,-.8146565,,-.32202989,-.39025259,-.92636484,-.96224231,,-.78496933,,.016213587,-.18250652,-.03027932,.63856572,.28745317,-.28709882,,-.17606007,,,,.17568444,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-.54426277,-.087855853,,.012319615,,-.066651881,,.16927855,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,.10349842,.057810117,,,,.19556683,,,,,,,,,,,,
,,,,,,,,-1.3657274,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6563488,-3.4647379
.44340271,,.086724088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.31537199,.064533219,.0058062254,-.10160801,,,,-.16091332,,.035894953,,,,,,,,,,,,,,,,,,
,,,,,,.053140216,.022116078,,-.13485014,-.22988494,-.17593427,-.17128336,-.14612682,-.11816814,-.26147637,-.3064639,,,,-.36418518,-.32405239,-.30370456,-.38693392,-.48129138,-.93294322,-.47854275,,,-.28679833,-.24933569,-.4029268,-.081527866,.081300184,-.15304615,-.1590187
,-1.5443457,-.57233423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.43567529,.71625185,.92163783,.53823417,,.32137799,,.46565607,,.3376236,,.87552243,,.11057915,,,,,,,,,,,,,,,,,,,,,,
.62716454,1.037867,.68736553,.78050965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.13020696,.21466002,.12580435,.083587408,-.29471692,,,-1.4976897,-.95318747,-.75455379,,-.81112832,,-.94064987,,-.67442018,,-.9181475,,,,,,,,,,,,,,,,,,
,,,,,-1.7727886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.29193637,-.15212615,-.21287358,-.24574055,,-.33610865,,-.15366575,,-.18681939,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.32274806,,-.1671903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-.39336225,,-.054851297,,-.0097068297,,.2022759,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.71450102,,.70387393,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-.096348189,-.046678927,-.11455332,-.11308167,-.12923518,-.17343178,-.1466528,-.014930244,-.079834752,.33864269,.24358231,.30182981,.42015347,.50672126,.41534767,.42205039,.41152996,.31983516,.43400151,.064995661,.55232251,.16406685,.11624743,-.50069034,,-1.5993557,,,-1.7890751
.70879298,.63221943,.25392351,.29960927,.20501851,.14779627,.13133387,-.055587742,-.24555869,-.23032753,-.24050406,-.18894717,-.34250006,,-.25107858,,-.33657938,,-.2300124,,,,,,,,,,,,,,,,,
-.1754901,-.013970436,-.0030229189,-.13830853,-.240567,-.13375247,-.25945315,-.27443784,-.38497221,,-.69399619,,-.43627906,,-.36745873,,,,,,,,,,,,,,,,,,,,,
,-.19494617,,-.22879998,,.05409085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
