reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,,,,,,,,,,.31648797,.3064521,.28233263,.39607358,.46480384,.54142249,,,,,,,,,,,,,,,,,
,,-.50819612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4653406,-.55532986
,,,,,,,,,-.81257868,-.64693743,-.32360655,-.44235566,,-.3880372,,-.41015381,,-.27763212,,,,,,,,,,,,,,,,,
,,,,,,,,,-.73335874,-.70167512,,-.44208515,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.0056375302,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.17539194,-.15612793,-.19029617,-.11110382,.16728382,,,,,,,,,,,,,,,,
,.88906306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.13911203,,,
,,,,,,,,,,,,,,-.71258134,,-.62094688,,,,,,,,,,,,,,,,,,,
,.28962889,-.72143644,,-.60279948,-.51962602,-.99676204,-1.0263612,,-.84059155,,-.082877584,.39945099,-.14427412,.16619793,.23543887,-.24453238,,-.58387816,,,,.10336161,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-.49293804,.04387404,,-.19182856,,.067401074,,-.1647529,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,.04056669,-.014768681,,,,-.10628831,,,,,,,,,,,,
,,,,,,,,-.88854885,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.47162637,
.28130132,,-.34146082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.27769536,.12456312,-.091849573,-.064816616,,,,-.068295911,,-.10580792,,,,,,,,,,,,,,,,,,
,,,,,,-.13920082,-.13796431,,-.42053336,-.32873994,-.29584059,-.24652766,-.18736087,-.24471687,-.33495495,-.40814713,,,,-.42192569,-.34112522,-.41076308,-.43167952,-.43601048,-.43790594,-.54534853,,,-.27950767,-.28417313,-.6303609,-.36845827,.12333486,-.41636524,-.57024926
,-1.1048634,-.62317896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.41570577,.68445915,.82183903,.62501609,,.44104055,,.46548563,,.30304942,,.95605761,,.25164846,,,,,,,,,,,,,,,,,,,,,,
.36179274,.76641053,.31378347,.78901291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.074969709,.13251939,.39260888,-.063472904,.7128976,,,-.84969211,-.98122138,-.68110096,,-1.0299335,,-.31411037,,-1.0652304,,-1.5213429,,,,,,,,,,,,,,,,,,
,,,,,.16083524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.39393398,-.28325331,-.57714385,-.43052238,,-.42117286,,-.12252434,,-.2547538,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.43899652,,-.43318591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-.45626992,,-.063271381,,-.067997284,,-.048801478,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.90770835,,.78269154,,,,,,,,,,,,,,,,,,,,,,,
